Iteration,Algorithm,Gateways,Coverage_Pct,K1_Risk,K2_Plus_Resilience,Time_s
1,Greedy SCP,8,98.56,18.07,80.49,0.046
1,K-Medoids 3D,21,98.19,12.12,86.07,18.417
1,Standard SAGA,8,98.56,18.07,80.49,0.075
1,Proposed 3D-M-SAGA,9,99.07,12.45,86.62,0.382
2,Greedy SCP,8,98.56,18.07,80.49,0.034
2,K-Medoids 3D,21,99.07,8.92,90.15,15.722
2,Standard SAGA,8,98.56,18.07,80.49,0.071
2,Proposed 3D-M-SAGA,9,99.16,16.26,82.91,0.426
3,Greedy SCP,8,98.56,18.07,80.49,0.041
3,K-Medoids 3D,21,98.61,6.13,92.48,14.958
3,Standard SAGA,8,98.56,18.07,80.49,0.064
3,Proposed 3D-M-SAGA,10,99.49,16.95,82.54,0.428
4,Greedy SCP,8,98.56,18.07,80.49,0.033
4,K-Medoids 3D,19,98.14,9.61,88.53,13.534
4,Standard SAGA,8,98.56,18.07,80.49,0.066
4,Proposed 3D-M-SAGA,9,98.93,14.49,84.44,0.392
5,Greedy SCP,8,98.56,18.07,80.49,0.044
5,K-Medoids 3D,19,98.65,9.24,89.41,13.191
5,Standard SAGA,8,98.56,18.07,80.49,0.062
5,Proposed 3D-M-SAGA,8,98.84,20.2,78.63,0.361
6,Greedy SCP,8,98.56,18.07,80.49,0.032
6,K-Medoids 3D,21,98,10.87,87.13,18.077
6,Standard SAGA,8,98.56,18.07,80.49,0.069
6,Proposed 3D-M-SAGA,9,99.02,16.4,82.63,0.367
7,Greedy SCP,8,98.56,18.07,80.49,0.034
7,K-Medoids 3D,19,98.61,7.85,90.76,12.477
7,Standard SAGA,8,98.56,18.07,80.49,0.066
7,Proposed 3D-M-SAGA,9,99.12,17.19,81.93,0.371
8,Greedy SCP,8,98.56,18.07,80.49,0.034
8,K-Medoids 3D,21,98.42,7.25,91.18,15.538
8,Standard SAGA,8,98.56,18.07,80.49,0.066
8,Proposed 3D-M-SAGA,10,99.07,13.01,86.07,0.379
9,Greedy SCP,8,98.56,18.07,80.49,0.036
9,K-Medoids 3D,21,98.05,9.57,88.48,15.414
9,Standard SAGA,8,98.56,18.07,80.49,0.069
9,Proposed 3D-M-SAGA,8,98.65,18.25,80.4,0.388
10,Greedy SCP,8,98.56,18.07,80.49,0.037
10,K-Medoids 3D,19,98.93,9.24,89.69,14.509
10,Standard SAGA,8,98.56,18.07,80.49,0.064
10,Proposed 3D-M-SAGA,9,99.21,18.86,80.35,0.383
11,Greedy SCP,8,98.56,18.07,80.49,0.034
11,K-Medoids 3D,23,99.21,5.43,93.78,15.512
11,Standard SAGA,8,98.56,18.07,80.49,0.067
11,Proposed 3D-M-SAGA,8,98.98,20.2,78.77,0.394
12,Greedy SCP,8,98.56,18.07,80.49,0.036
12,K-Medoids 3D,23,98.28,7.94,90.34,17.896
12,Standard SAGA,8,98.56,18.07,80.49,0.066
12,Proposed 3D-M-SAGA,10,98.98,11.47,87.51,0.4
13,Greedy SCP,8,98.56,18.07,80.49,0.033
13,K-Medoids 3D,19,98.7,8.55,90.15,16.209
13,Standard SAGA,8,98.56,18.07,80.49,0.071
13,Proposed 3D-M-SAGA,9,99.12,17.23,81.89,0.343
14,Greedy SCP,8,98.56,18.07,80.49,0.035
14,K-Medoids 3D,21,99.35,7.29,92.06,18.628
14,Standard SAGA,8,98.56,18.07,80.49,0.06
14,Proposed 3D-M-SAGA,10,99.12,13.52,85.6,0.377
15,Greedy SCP,8,98.56,18.07,80.49,0.033
15,K-Medoids 3D,21,98.47,8.78,89.69,14.042
15,Standard SAGA,8,98.56,18.07,80.49,0.072
15,Proposed 3D-M-SAGA,9,98.89,16.49,82.4,0.365
16,Greedy SCP,8,98.56,18.07,80.49,0.036
16,K-Medoids 3D,19,98.56,5.57,92.99,12.484
16,Standard SAGA,8,98.56,18.07,80.49,0.075
16,Proposed 3D-M-SAGA,8,98.79,18.3,80.49,0.361
17,Greedy SCP,8,98.56,18.07,80.49,0.036
17,K-Medoids 3D,17,98.24,12.45,85.79,11.487
17,Standard SAGA,8,98.56,18.07,80.49,0.072
17,Proposed 3D-M-SAGA,9,98.56,12.08,86.48,0.391
18,Greedy SCP,8,98.56,18.07,80.49,0.036
18,K-Medoids 3D,23,98.14,7.34,90.8,16.602
18,Standard SAGA,8,98.56,18.07,80.49,0.068
18,Proposed 3D-M-SAGA,8,98.56,18.07,80.49,0.429
19,Greedy SCP,8,98.56,18.07,80.49,0.034
19,K-Medoids 3D,21,98.05,8.41,89.64,16.215
19,Standard SAGA,8,98.56,18.07,80.49,0.063
19,Proposed 3D-M-SAGA,9,98.84,15.05,83.79,0.374
20,Greedy SCP,8,98.56,18.07,80.49,0.036
20,K-Medoids 3D,21,98.24,9.71,88.53,1207.497
20,Standard SAGA,8,98.56,18.07,80.49,0.09
20,Proposed 3D-M-SAGA,9,98.93,14.21,84.72,0.721
21,Greedy SCP,8,98.56,18.07,80.49,0.051
21,K-Medoids 3D,19,98.79,9.48,89.32,16.352
21,Standard SAGA,8,98.56,18.07,80.49,0.085
21,Proposed 3D-M-SAGA,8,98.65,18.86,79.8,0.639
22,Greedy SCP,8,98.56,18.07,80.49,0.049
22,K-Medoids 3D,25,99.16,6.83,92.34,23.704
22,Standard SAGA,8,98.56,18.07,80.49,0.082
22,Proposed 3D-M-SAGA,9,98.84,15.79,83.05,0.436
23,Greedy SCP,8,98.56,18.07,80.49,0.036
23,K-Medoids 3D,19,98.1,7.85,90.25,11.503
23,Standard SAGA,8,98.56,18.07,80.49,0.083
23,Proposed 3D-M-SAGA,9,98.7,14.21,84.49,0.478
24,Greedy SCP,8,98.56,18.07,80.49,0.036
24,K-Medoids 3D,21,98.33,11.66,86.67,16.179
24,Standard SAGA,8,98.56,18.07,80.49,0.072
24,Proposed 3D-M-SAGA,8,98.56,18.07,80.49,0.398
25,Greedy SCP,8,98.56,18.07,80.49,0.037
25,K-Medoids 3D,21,98.37,7.62,90.76,18.448
25,Standard SAGA,8,98.56,18.07,80.49,0.192
25,Proposed 3D-M-SAGA,8,98.89,18.9,79.98,0.927
26,Greedy SCP,8,98.56,18.07,80.49,0.077
26,K-Medoids 3D,19,98.05,10.78,87.27,21.73
26,Standard SAGA,8,98.56,18.07,80.49,0.13
26,Proposed 3D-M-SAGA,8,99.12,20.25,78.87,0.657
27,Greedy SCP,8,98.56,18.07,80.49,0.071
27,K-Medoids 3D,21,98.56,6.6,91.96,22.462
27,Standard SAGA,8,98.56,18.07,80.49,0.177
27,Proposed 3D-M-SAGA,9,99.3,18.44,80.86,0.96
28,Greedy SCP,8,98.56,18.07,80.49,0.078
28,K-Medoids 3D,21,98.93,10.36,88.57,24.134
28,Standard SAGA,8,98.56,18.07,80.49,0.118
28,Proposed 3D-M-SAGA,7,98.56,21.5,77.06,0.747
29,Greedy SCP,8,98.56,18.07,80.49,0.096
29,K-Medoids 3D,21,98.47,6.73,91.73,19.54
29,Standard SAGA,8,98.56,18.07,80.49,0.067
29,Proposed 3D-M-SAGA,9,98.47,9.66,88.81,0.377
30,Greedy SCP,8,98.56,18.07,80.49,0.032
30,K-Medoids 3D,19,98.98,6.83,92.15,11.383
30,Standard SAGA,8,98.56,18.07,80.49,0.069
30,Proposed 3D-M-SAGA,8,98.75,18.86,79.89,0.403
31,Greedy SCP,8,98.56,18.07,80.49,0.034
31,K-Medoids 3D,19,98.61,8.64,89.97,15.66
31,Standard SAGA,8,98.56,18.07,80.49,0.127
31,Proposed 3D-M-SAGA,10,98.89,10.36,88.53,0.731
32,Greedy SCP,8,98.56,18.07,80.49,0.065
32,K-Medoids 3D,19,98.24,10.36,87.88,21.255
32,Standard SAGA,8,98.56,18.07,80.49,0.141
32,Proposed 3D-M-SAGA,8,99.21,18.76,80.45,0.838
33,Greedy SCP,8,98.56,18.07,80.49,0.107
33,K-Medoids 3D,19,98.79,9.48,89.32,16.994
33,Standard SAGA,8,98.56,18.07,80.49,0.155
33,Proposed 3D-M-SAGA,9,98.98,17.37,81.61,0.757
34,Greedy SCP,8,98.56,18.07,80.49,0.096
34,K-Medoids 3D,19,98.47,11.1,87.37,20.778
34,Standard SAGA,8,98.56,18.07,80.49,0.124
34,Proposed 3D-M-SAGA,10,99.35,12.73,86.62,0.768
35,Greedy SCP,8,98.56,18.07,80.49,0.1
35,K-Medoids 3D,23,99.07,6.64,92.43,32.972
35,Standard SAGA,8,98.56,18.07,80.49,0.154
35,Proposed 3D-M-SAGA,8,98.65,18.25,80.4,0.773
36,Greedy SCP,8,98.56,18.07,80.49,0.073
36,K-Medoids 3D,21,98.14,7.48,90.66,26.211
36,Standard SAGA,8,98.56,18.07,80.49,0.161
36,Proposed 3D-M-SAGA,9,98.98,14.49,84.49,0.844
37,Greedy SCP,8,98.56,18.07,80.49,0.081
37,K-Medoids 3D,21,99.44,8.22,91.22,25.589
37,Standard SAGA,8,98.56,18.07,80.49,0.196
37,Proposed 3D-M-SAGA,10,99.63,18.72,80.91,1.015
38,Greedy SCP,8,98.56,18.07,80.49,0.088
38,K-Medoids 3D,19,98.98,7.94,91.04,21.362
38,Standard SAGA,8,98.56,18.07,80.49,0.162
38,Proposed 3D-M-SAGA,9,98.98,16.81,82.16,0.925
39,Greedy SCP,8,98.56,18.07,80.49,0.082
39,K-Medoids 3D,19,98.75,6.46,92.29,17.132
39,Standard SAGA,8,98.56,18.07,80.49,0.065
39,Proposed 3D-M-SAGA,8,98.14,12.68,85.46,0.393
40,Greedy SCP,8,98.56,18.07,80.49,0.033
40,K-Medoids 3D,19,98.28,7.57,90.71,12.925
40,Standard SAGA,8,98.56,18.07,80.49,0.067
40,Proposed 3D-M-SAGA,8,99.07,19.28,79.8,0.426
41,Greedy SCP,8,98.56,18.07,80.49,0.034
41,K-Medoids 3D,23,98.98,7.62,91.36,17.461
41,Standard SAGA,8,98.56,18.07,80.49,0.071
41,Proposed 3D-M-SAGA,9,99.12,17.09,82.03,0.412
42,Greedy SCP,8,98.56,18.07,80.49,0.035
42,K-Medoids 3D,23,99.07,6.5,92.57,19.7
42,Standard SAGA,8,98.56,18.07,80.49,0.069
42,Proposed 3D-M-SAGA,8,98.37,15.14,83.23,0.4
43,Greedy SCP,8,98.56,18.07,80.49,0.038
43,K-Medoids 3D,21,98.56,8.78,89.78,15.794
43,Standard SAGA,8,98.56,18.07,80.49,0.067
43,Proposed 3D-M-SAGA,8,98.75,16.86,81.89,0.343
44,Greedy SCP,8,98.56,18.07,80.49,0.034
44,K-Medoids 3D,23,98.42,8.59,89.83,18.903
44,Standard SAGA,8,98.56,18.07,80.49,0.066
44,Proposed 3D-M-SAGA,10,99.54,16.02,83.51,0.414
45,Greedy SCP,8,98.56,18.07,80.49,0.035
45,K-Medoids 3D,19,98.7,8.17,90.52,15.2
45,Standard SAGA,8,98.56,18.07,80.49,0.064
45,Proposed 3D-M-SAGA,9,99.21,16.4,82.81,0.371
46,Greedy SCP,8,98.56,18.07,80.49,0.036
46,K-Medoids 3D,17,98.28,9.61,88.67,10.206
46,Standard SAGA,8,98.56,18.07,80.49,0.067
46,Proposed 3D-M-SAGA,9,99.02,16.35,82.68,0.399
47,Greedy SCP,8,98.56,18.07,80.49,0.033
47,K-Medoids 3D,19,98.05,9.43,88.62,12.515
47,Standard SAGA,8,98.56,18.07,80.49,0.066
47,Proposed 3D-M-SAGA,7,98.7,22.39,76.31,0.396
48,Greedy SCP,8,98.56,18.07,80.49,0.034
48,K-Medoids 3D,23,98.51,7.9,90.62,17.113
48,Standard SAGA,8,98.56,18.07,80.49,0.072
48,Proposed 3D-M-SAGA,8,98.56,18.07,80.49,0.384
49,Greedy SCP,8,98.56,18.07,80.49,0.036
49,K-Medoids 3D,17,98.56,9.52,89.04,11.251
49,Standard SAGA,8,98.56,18.07,80.49,0.071
49,Proposed 3D-M-SAGA,9,98.98,16.4,82.58,0.38
50,Greedy SCP,8,98.56,18.07,80.49,0.035
50,K-Medoids 3D,21,98.89,8.36,90.52,18.438
50,Standard SAGA,8,98.56,18.07,80.49,0.068
50,Proposed 3D-M-SAGA,8,98.61,17.56,81.05,0.375
